TYPE NORMATIEVE RELATIE;CODE NORMATIEVE RELATIE;JURICONNECT bronverwijzing ;Juridische bronverwijzing;TEKST (origineel);ACTOR;ONTVANGER;iHANDELING;OBJECT van iHANDELING;PRECONDITIE;POSTCONDITIE CREËREND;POSTCONDITIE TERMINEREND;Verwijzingen;Opmerkingen;TYPE NORMATIVE RELATION;CODE NORMATIVE RELATION;Legal reference to source;TEXT (English translation);ACTOR;RECIPIENT;iACT;OBJECT of iACT;PRECONDITION;POSTCONDITION CREATING;POSTCONDITION TERMINATING;References;Comments
BEVOEGD-GEHOUDEN;NR.Awb.1:3.3;jci1.31:c:BWBR0005537&g=1998-01-01&Hoofdstuk=1&Titeldeel=1.1&Artikel=1:3;Artikel 1:3, derde lid, Awb;Onder aanvraag wordt verstaan: een verzoek van een belanghebbende, een besluit te nemen;[belanghebbende];[het bestuursorgaan];[doen];[een verzoek een besluit te nemen];iFEIT.Awb.1:3.3.verzoek EN iFEIT.Awb.1:3.3.belanghebbende EN NIET iFEIT.Awb.4:1.voorschrift;"NR.Awb.3:2.VERPLICHT; NR.Awb.3:46.VERPLICHT; NR.Awb.4:1.schriftelijk; NR.Awb.4:1.bevoegd; NR.Awb.4:2.1; NR.Awb.4:2.2; NR.Awb.4:13.1.termijn; iFEIT.Awb.1:3.3.aanvraag
";;" 1. De aanvrager: impliciete verwijzing naar de [ONTVANGER]; belanghebbende die verzoekt om een besluit te nemen; (bron, impliciet: artikel 1:3, derde lid, Awb).";;POWER-LIABILITY;NR.GAL.1:3.3;Article 1:3, Paragraph 3, GAL;"The application to issue a decision is submitted in writing to the administrative authority competent to decide on the application, unless otherwise provided by law.
";[stakeholder];[the administrative authority];[make];[a request to make a decision];iFACT.GAL.1:3.3.request AND iFACT.GAL.1:3.3.stakeholder AND NOT iFACT.GAL.4:1.unless;"NR.GAL.3:2.DUTY; NR.GAL.3:46.DUTY; NR.GAL.4:1.written; NR.GAL.4:1.authorized; NR.GAL.4:2.1; NR.GAL.4:2.2; NR.GAL.4:13.1.timelimit; iFACT.GAL.1:3.3.application
";;" 1. The applicant: implicit reference to the actor; person submitting the application.";
BEVOEGD-GEHOUDEN;NR.Awb.3:2;jci1.31:c:BWBR0005537&g=1994-01-01&Hoofdstuk=3&Afdeling=3.2&Artikel=3:2;Artikel 3:2 Awb;Bij de voorbereiding van een besluit vergaart het bestuursorgaan de nodige kennis omtrent de relevante feiten en de af te wegen belangen.;[het bestuursorgaan];[de aanvrager];[vergaren];[de nodige kennis voor het nemen van een besluit];iFEIT.Awb.1:3.3.aanvraag;"iFEIT.Awb.3:2.feiten; iFEIT.Awb.3:2.belangen";NR.Awb.3:2.VERPLICHT;" 1. De aanvrager: impliciete verwijzing naar de [ONTVANGER]; belanghebbende die verzoekt om een besluit te nemen; (bron, impliciet: artikel 1:3, derde lid, Awb).";De VERPLICHTING van [het bestuursorgaan] wordt hier getermineerd.Er komt geen nieuwe informatie over deze VERPLICHTING, tenzij [de belanghebbende] [een bezwaarschrift] of [een beroepschrift] indient tegen het (nog te nemen) [besluit].;POWER-LIABILITY;NR.GAL.3:2;Article 3:2, GAL;During the preparation of a decision the administrative authority acquires the necessary information concerning the relevant facts and the interests to be weighed.;[the administrative authority];[the applicant];[acquire];[the necessary information concerning the relevant facts and the interests to be weighed];iFACT.GAL.4:1.written AND iFACT.GAL.4:1.authorized;"iFACT.GAL.3:2.facts; iFACT.GAL.3:2.interests";NR.GAL.3:2.DUTY;" 1. The applicant: implicit reference to the recipient; person submitting the application.";
BEVOEGD-GEHOUDEN;NR.Awb.3:41.1;jci1.31:c:BWBR0005537&g=1998-01-01&Hoofdstuk=3&Paragraaf=3.6&Artikel=3:41&lid=1;Artikel 3:41, eerste lid, Awb;De bekendmaking van besluiten die tot een of meer belanghebbenden zijn gericht, geschiedt door toezending of uitreiking aan hen, onder wie begrepen de aanvrager.;[het bestuursorgaan];[belanghebbenden];[bekendmaken];[besluit];(iFEIT.Vw.14.1.a.inwilligen OF iFEIT.Vw.14.1.afwijzen OF iFEIT.Awb.4:5.1.niet.in.behandeling.nemen) EN iFEIT.Awb.3:41.1;iFEIT.Awb.3:40.besluit.in.werking;"NR.Awb.4:1.schriftelijk; NR.Awb.4:1.bevoegd; NR.Awb.4:2.1; NR.Awb.4:2.2; NR.Awb.4:13.1.termijn; iFEIT.Vw.14.1.a.aanvraag";;;POWER-LIABILITY;NR.GAL.3:41.1;Artikel 3:41, Paragraph 1, GAL;The announcement of decisions addressed to one or more stakeholders, is done by sending or issuing them to the stakeholders, including the applicant.;[the administrative authority];[the applicant];[announce];[decision];(iFACT.AA.14.1.a.grant OR iFACT.AA.14.1.a.reject OR iFACT.GAL.4:5.1.disregard) AND iFACT.GAL.3:41.1;iFACT.GAL.3:40.come.into.force;"NR.GAL.4:1.written; NR.GAL.4:1.authorized; NR.GAL.4:2.1; NR.GAL.4:2.2; NR.GAL.4:13.1.timelimit; iFACT.AA.14.1.a.application";;
BEVOEGD-GEHOUDEN;NR.Awb.3:41.2;jci1.31:c:BWBR0005537&g=1998-01-01&Hoofdstuk=3&Paragraaf=3.6&Artikel=3:41&lid=2;Artikel 3:41, tweede lid, Awb;Indien de bekendmaking van het besluit niet kan geschieden op de wijze als voorzien in het eerste lid, geschiedt zij op een andere geschikte wijze.;[het bestuursorgaan];[belanghebbenden];[bekendmaken];[besluit];(iFEIT.Vw.14.1.a.inwilligen OF iFEIT.Vw.14.1.afwijzen OF iFEIT.Awb.4:5.1.niet.in.behandeling.nemen) EN iFEIT.Awb.3:41.2;iFEIT.Awb.3:40.besluit.in.werking;"NR.Awb.4:1.schriftelijk; NR.Awb.4:1.bevoegd; NR.Awb.4:2.1; NR.Awb.4:2.2; NR.Awb.4:13.1.termijn; iFEIT.Vw.14.1.a.aanvraag";;;POWER-LIABILITY;NR.GAL.3:41.2;Artikel 3:41, Paragraph 2, GAL;If the announcement of the decision can not be made in the manner as provided in the first paragraph, it shall be done in some other suitable manner.;[the administrative authority];[the applicant];[announce];[decision];(iFACT.AA.14.1.a.grant OR iFACT.AA.14.1.a.reject OR iFACT.GAL.4:5.1.disregard) AND iFACT.GAL.3:41.2;iFACT.GAL.3:40.come.into.force;"NR.GAL.4:1.written; NR.GAL.4:1.authorized; NR.GAL.4:2.1; NR.GAL.4:2.2; NR.GAL.4:13.1.timelimit; iFACT.AA.14.1.a.application";;
BEVOEGD-GEHOUDEN;NR.Awb.3.46;jci1.31:c:BWBR0005537&g=1998-01-01&Hoofdstuk=3&Afdeling=3.7&Article=3:46;Artikel 3:46 Awb;Een besluit dient te berusten op een deugdelijke motivering.;[het bestuursorgaan];[de aanvrager];[motiveren];[een besluit];iFEIT.Awb.3:2.feiten EN iFEIT.Awb.3:2.belangen EN NIET (iFEIT.Awb.4:7.1.a EN iFEIT.Awb.4:7.1.b);iFEIT.Awb.3:46;NR.Awb.3:46.VERPLICHT;" 1. het bestuursorgaan: impliciete verwijzing naar de [ACTOR]; de persoon die een beslissing motiveert.
 2. De aanvrager: impliciete verwijzing naar de [ONTVANGER]; belanghebbende die verzoekt om een besluit te nemen; (bron, impliciet: artikel 1:3, derde lid, Awb).";De VERPLICHTING van [het bestuursorgaan] wordt hier getermineerd.Er komt geen nieuwe informatie over deze VERPLICHTING, tenzij [de belanghebbende] [een bezwaarschrift] of [een beroepschrift] indient tegen het (nog te nemen) [besluit].;POWER-LIABILITY;NR.GAL.3:46;Article 3:46, GAL;A decision must be based on a valid motivation.;[the administrative authority];[the applicant];[motivate];[a decision];iFACT.GAL.3:2.facts AND iFACT.GAL.3:2.interests;iFACT.GAL.3:46;NR.GAL.3:46.DUTY;" 1. the administrative authority: implicit reference to the actor; person motivating the decision.
 2. The applicant: implicit reference to the recipient; person submitting the application.";
BEVOEGD-GEHOUDEN;NR.Awb.3.46.zienswijze;jci1.31:c:BWBR0005537&g=1998-01-01&Hoofdstuk=3&Afdeling=3.7&Article=3:46;Artikel 3:46 Awb;Een besluit dient te berusten op een deugdelijke motivering.;[het bestuursorgaan];[de aanvrager];[motiveren];[een besluit];iFEIT.Awb.3:2.feiten EN iFEIT.Awb.3:2.belangen EN (iFEIT.Awb.4:7.1.a EN iFEIT.Awb.4:7.1.b) EN NIET iFEIT.Awb.4:7.2;"NR.Awb.4:7.1; iFEIT.Awb.3:46";NR.Awb.3:46.VERPLICHT;" 1. het bestuursorgaan: impliciete verwijzing naar de [ACTOR]; de persoon die een beslissing motiveert.
 2. De aanvrager: impliciete verwijzing naar de [ONTVANGER]; belanghebbende die verzoekt om een besluit te nemen; (bron, impliciet: artikel 1:3, derde lid, Awb).";De VERPLICHTING van [het bestuursorgaan] wordt hier getermineerd.Er komt geen nieuwe informatie over deze VERPLICHTING, tenzij [de belanghebbende] [een bezwaarschrift] of [een beroepschrift] indient tegen het (nog te nemen) [besluit].;POWER-LIABILITY;NR.GAL.3:46;Article 3:46, GAL;A decision must be based on a valid motivation.;[the administrative authority];[the applicant];[motivate];[a decision];iFACT.GAL.3:2.facts AND iFACT.GAL.3:2.interests;"NR.Awb.4:7.1; iFACT.GAL.3:46";NR.GAL.3:46.DUTY;" 1. the administrative authority: implicit reference to the actor; person motivating the decision.
 2. The applicant: implicit reference to the recipient; person submitting the application.";
BEVOEGD-GEHOUDEN;NR.Awb.4:5;jci1.31:c:BWBR0005537&g=2004-07-01&Hoofdstuk=4&Titeldeel=4.1&Afdeling=4.1.1&Artikel=4:5;Artikel 4:5 Awb;"1. Het bestuursorgaan kan besluiten de aanvraag niet te behandelen, indien:
a. de aanvrager niet heeft voldaan aan enig wettelijk voorschrift voor het in behandeling nemen van de aanvraag, of
b. de aanvraag geheel of gedeeltelijk is geweigerd op grond van artikel 2:15, of
c. de verstrekte gegevens en bescheiden onvoldoende zijn voor de beoordeling van de aanvraag of voor de voorbereiding van de beschikking,
mits de aanvrager de gelegenheid heeft gehad de aanvraag binnen een door het bestuursorgaan gestelde termijn aan te vullen.
2. Indien de aanvraag of een van de daarbij behorende gegevens of bescheiden in een vreemde taal is gesteld en een vertaling daarvan voor de beoordeling van de aanvraag of voor de voorbereiding van de beschikking noodzakelijk is, kan het bestuursorgaan besluiten de aanvraag niet te behandelen, mits de aanvrager de gelegenheid heeft gehad binnen een door het bestuursorgaan gestelde termijn de aanvraag met een vertaling aan te vullen. 
3. Indien de aanvraag of een van de daarbij behorende gegevens of bescheiden omvangrijk of ingewikkeld is en een samenvatting voor de beoordeling van de aanvraag of voor de voorbereiding van de beschikking noodzakelijk is, kan het bestuursorgaan besluiten de aanvraag niet te behandelen, mits de aanvrager de gelegenheid heeft gehad binnen een door het bestuursorgaan gestelde termijn de aanvraag met een samenvatting aan te vullen.";[het bestuursorgaan];[de aanvrager];[niet in behandeling nemen];[de aanvraag];"iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Awb.4:5.1.mits EN iFEIT.Awb.4:5.4 EN ( iFEIT.Awb.4:5.1.a OF  iFEIT.Awb.4:5.1.b OF  iFEIT.Awb.4:5.1.c OF iFEIT.Awb.4:5.2 OF iFEIT.Awb.4:5.3)
";"iFEIT.Awb.4:5.1.niet.in.behandeling.nemen
";;" 1. De aanvrager: impliciete verwijzing naar de [ONTVANGER]; belanghebbende die verzoekt om een besluit te nemen; (bron, impliciet: artikel 1:3, derde lid, Awb).";;POWER-LIABILITY;NR.GAL.4:5;Article 4:5, GAL;"1. The administrative authority may decide to disregard the application if:
a. the applicant has not complied with any statutory provision for the handling of the application, or
b. the application is totally or partially refused on the basis of Article 2:15, or
c. the information and documents supplied are inadequate for the evaluation of the application or for the preparation of the order,
provided that the applicant has had the opportunity to supplement the application within a period specified by the administrative authority.
2. The administrative authority may decide to disregard the application if the application, or any of the accompanying information or documents, are written in a foreign language and a translation is necessary for the assessment of the application, or for the preparation of the order, provided that the applicant has had the opportunity, within a period specified by the administrative authority, to supplement the application with a translation.
3. The administrative authority may decide to disregard the application if the application, or any of the associated data records, are large or complex, and a summary is necessary for the evaluation of the application or for the preparation of the order, provided that the applicant has had the opportunity, within a period specified by the administrative authority, to supplement the application with a summary.
4. A decision to disregard the application is communicated to the applicant within four weeks after the application is completed, or after the specified period to supplement the application has expired unused.
";[the administrative authority];[the applicant];[disregard];[the application];"iFACT.AA.14.1.a.application AND iFACT.GAL.4:5.1.provided AND iFACT.GAL.4:5.4 AND ( iFACT.GAL.4:5.1.a OR  iFACT.GAL.4:5.1.b OF  iFACT.GAL.4:5.1.c OR  iFACT.GAL.4:5.2 OR iFACT.GAL.4:5.3)
";"iFACT.GAL.4:5.1.disregard
";;" 1. The applicant: implicit reference to the recipient; person submitting the application.";
BEVOEGD-GEHOUDEN;NR.Vw.14.1.a.afwijzen;jci1.31:c:BWBR0011823&g=2014-04-01&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=14&lid=1&nummer=a;Artikel 14, eerste lid, aanhef en onder a, Vw;"Onze Minister is bevoegd: de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd in te willigen, af te wijzen dan wel niet in behandeling te nemen;";[Onze Minister];[de vreemdeling];[afwijzen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Awb.3:46 EN iFEIT.Awb.3:4.2;iFEIT.Vw.14.1.a.afwijzen;;;;POWER-LIABILITY;NR.AA.14.1.a.reject;Article 14, paragraph 1, introduction and under point a, AA;Our Minister is authorized to accept, to reject or to disregard the application for granting a temporary residence permit.;[Our Minister];[the alien];[reject];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.GAL.3:46 AND iFACT.GAL.3:4.2;iFACT.AA.14.1.a.reject;;;
BEVOEGD-GEHOUDEN;NR.Vw.14.1.a.inwilligen;jci1.31:c:BWBR0011823&g=2014-04-01&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=14&lid=1&nummer=a;Artikel 14, eerste lid, aanhef en onder a, Vw;"Onze Minister is bevoegd: de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd in te willigen, af te wijzen dan wel niet in behandeling te nemen;";[Onze Minister];[de vreemdeling];[inwilligen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Vw.26.1.voldoet EN iFEIT.Vw.26.1.datum;iFEIT.Vw.14.1.a.inwilligen;;;;POWER-LIABILITY;NR.AA.14.1.a.grant;Article 14, paragraph 1, introduction and under point a, AA;Our Minister is authorized to accept, to reject or to disregard the application for granting a temporary residence permit.;[Our Minister];[the alien];[grant];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.AA.26.1.fulfills AND iFACT.AA.26.1.date;iFACT.AA.14.1.grant;;;
BEVOEGD-GEHOUDEN;NR.Vw.14.1.a.niet.in.behandeling.nemen;jci1.31:c:BWBR0011823&g=2014-04-01&Hoofdstuk=3&Afdeling=3&Paragraaf=1&Artikel=14&lid=1&nummer=a;Artikel 14, eerste lid, aanhef en onder a, Vw;"Onze Minister is bevoegd: de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd in te willigen, af te wijzen dan wel niet in behandeling te nemen;";[Onze Minister];[de vreemdeling];[niet in behandeling nemen];[de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd];iFEIT.Vw.14.1.a.aanvraag EN iFEIT.Awb.4:5.1.mits EN iFEIT.Vw.24.2.zin3;"iFEIT.Vw.14.1.a.niet.in.behandeling.nemen; iFEIT.Vw.24.2.zin4";;;;POWER-LIABILITY;NR.AA.14.1.a.disregard;Article 14, paragraph 1, introduction and under point a, AA;Our Minister is authorized to accept, to reject or to disregard the application for granting a temporary residence permit.;[Our Minister];[the alien];[disregard];[the application to grant a temporary residence permit];iFACT.AA.14.1.a.application AND iFACT.GAL.4:5.1.provided AND iFACT.AA.24.2.sentence3;iFACT.AA.14.1.a.disregard;;;
