OBJECT;NAAM;DEFINITIE;JURICONNECT bronverwijzing ;Juridische bronverwijzing;Opmerkingen;OBJECT (English);NAME;DEFINITION;Legal reference to source;Notes;Used;;;;;;
iFEIT.Awb.1:3.3.aanvraag;aanvraag;een aanvraag;jci1.31:c:BWBR0005537&g=1998-01-01&Hoofdstuk=1&Titeldeel=1.1&Artikel=1:3;Artikel 1:3, derde lid, Awb;;iFACT.GAL.1:3.3.application;an application;an application;Article 1:3, paragraph 3 GAL;;Ja;;;;;;
iFEIT.Awb.1:3.3.belanghebbende;verzoek van belanghebbende;een verzoek van een belanghebbende;jci1.31:c:BWBR0005537&g=1998-01-01&Hoofdstuk=1&Titeldeel=1.1&Artikel=1:3;Artikel 1:3, derde lid, Awb;;iFACT.GAL.1:3.3.stakeholder ;a request made by a stakeholder;a request made by a stakeholder;Article 1:3, paragraph 3 GAL;;Ja;;;;;;
iFEIT.Awb.1:3.3.verzoek;verzoek besluit te nemen;een verzoek een besluit te nemen;jci1.31:c:BWBR0005537&g=1998-01-01&Hoofdstuk=1&Titeldeel=1.1&Artikel=1:3;Artikel 1:3, derde lid, Awb;;iFACT.GAL.1:3.3.request;a request to take a decision;a request to take a decision;Article 1:3, paragraph 3 GAL;;Ja;;;;;;
iFEIT.Awb.3:2.belangen;weging relevante belangen;de voor het nemen van het besluit nodige kennis omtrent de relevante  af te wegen belangen;jci1.31:c:BWBR0005537&g=1994-01-01&Hoofdstuk=3&Afdeling=3.2&Artikel=3:2;Artikel 3:2, Awb;;iFACT.GAL.3:2.interests;knowledge on relevant interests;the necessary knowledge on the relevant interests to make the decision;Article 3:2 GAL;;Ja;;;;;;
iFEIT.Awb.3:2.feiten;relevante feiten;de voor het besluit nodige kennis omtrent de relevante feiten;jci1.31:c:BWBR0005537&g=1994-01-01&Hoofdstuk=3&Afdeling=3.2&Artikel=3:2;Artikel 3:2, Awb;;iFACT.GAL.3:2.facts;knowledge on relevant facts;the relevant facts necessary to make the decision;Article 3:2 GAL;;Ja;;;;;;
iFEIT.Awb.3:4.2;nadelige gevolgen niet onevenredig;de voor een of meer belanghebbenden nadelige gevolgen van een besluit mogen niet onevenredig zijn in verhouding tot de met het besluit te dienen doelen;jci1.31:c:BWBR0005537&g=1994-01-01&Hoofdstuk=3&Afdeling=3.2&Artikel=3:4&Lid=2;Artikel 3:4, tweede lid Awb;;iFACT.GAL.3:4.2;adverse consequences not disproportionate;the adverse consequences of a decision for one or more stakeholders, may not be disproportionate in relation to the decision to serve goals;Article 3:4, paragraph 2 GAL;;Ja;;;;;;
iFEIT.Awb.3:40.besluit.in.werking;bekendmaken besluit;een besluit treedt treedt in werking omdat het bekendgemaakt is;jci1.31:c:BWBR0005537&g=1994-01-01&Hoofdstuk=3&Paragraaf=3.6&Artikel=3:40;;;iFACT.GAL.3:40.come.into.force;decision has come into force;a decision has come into force because it has been announced;Article 3:40 GAL;;Ja;;;;;;
iFEIT.Awb.3:41.1;bekendmaking door toezending of uitreiking;de bekendmaking van het besluit dat tot een of meer belanghebbenden is gericht, geschiedt door toezending of uitreiking aan belanghebbenden, onder wie begrepen de aanvrager;jci1.31:c:BWBR0005537&g=1998-01-01&Hoofdstuk=3&Paragraaf=3.6&Artikel=3:41&Lid=1;;;iFACT.GAL.3:41.1;announcement by sending or issuing;the announcement of the decision, which is addressed to one or more stakeholders, is done by sending or issuing to stakeholders, including the applicant;Article 3:41, paragraph 1, GAL;;Ja;;;;;;
iFEIT.Awb.3:41.2;bekendmaking op andere geschikte wijze;de bekendmaking van het besluit kan niet geschieden door toezending of uitreiking aan belanghebbenden, onder wie begrepen de aanvrager, en geschiedt op een andere geschikte wijze.;jci1.31:c:BWBR0005537&g=1998-01-01&Hoofdstuk=3&Paragraaf=3.6&Artikel=3:41&Lid=2;;;iFACT.GAL.3:41.2;announcement in another suitable way;the announcement of the decision can not be done by sending or issuing to stakeholders, including the applicant, and must be done by some other suitable manner;Article 3:41, paragraph 2, GAL;;Ja;;;;;;
iFEIT.Awb.3:46;deugdelijke motivering;een deugdelijke motivering;jci1.31:c:BWBR0005537&g=1998-01-01&Hoofdstuk=3&Afdeling=3.7&Artikel=3:46;Artikel 3:46, Awb;;iFACT.GAL.3:46;a valid motivation;a valid motivation;Article 3:46 GAL;;Ja;;;;;;
